"filename", "language", "PostCSS", "Markdown", "XML", "JSON", "PHP", "Docker", "JavaScript", "YAML", "comment", "blank", "total"
"c:\laragon\www\lexcita-app\.claude\settings.local.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"c:\laragon\www\lexcita-app\Dockerfile", "Docker", 0, 0, 0, 0, 0, 14, 0, 0, 0, 8, 22
"c:\laragon\www\lexcita-app\README.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 9, 31
"c:\laragon\www\lexcita-app\app\Http\Controllers\AbogadoController.php", "PHP", 0, 0, 0, 0, 42, 0, 0, 0, 1, 10, 53
"c:\laragon\www\lexcita-app\app\Http\Controllers\AdminController.php", "PHP", 0, 0, 0, 0, 93, 0, 0, 0, 2, 21, 116
"c:\laragon\www\lexcita-app\app\Http\Controllers\ApiController.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\laragon\www\lexcita-app\app\Http\Controllers\AuthController.php", "PHP", 0, 0, 0, 0, 102, 0, 0, 0, 1, 24, 127
"c:\laragon\www\lexcita-app\app\Http\Controllers\ClienteController.php", "PHP", 0, 0, 0, 0, 88, 0, 0, 0, 3, 20, 111
"c:\laragon\www\lexcita-app\app\Http\Controllers\Controller.php", "PHP", 0, 0, 0, 0, 5, 0, 0, 0, 1, 3, 9
"c:\laragon\www\lexcita-app\app\Http\Controllers\PagoController.php", "PHP", 0, 0, 0, 0, 64, 0, 0, 0, 0, 17, 81
"c:\laragon\www\lexcita-app\app\Http\Middleware\RolMiddleware.php", "PHP", 0, 0, 0, 0, 28, 0, 0, 0, 7, 7, 42
"c:\laragon\www\lexcita-app\app\Models\Cita.php", "PHP", 0, 0, 0, 0, 36, 0, 0, 0, 4, 11, 51
"c:\laragon\www\lexcita-app\app\Models\HorarioDisponible.php", "PHP", 0, 0, 0, 0, 22, 0, 0, 0, 1, 8, 31
"c:\laragon\www\lexcita-app\app\Models\User.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 16, 7, 50
"c:\laragon\www\lexcita-app\app\Models\Usuario.php", "PHP", 0, 0, 0, 0, 42, 0, 0, 0, 3, 13, 58
"c:\laragon\www\lexcita-app\app\Providers\AppServiceProvider.php", "PHP", 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"c:\laragon\www\lexcita-app\app\Services\CitaService.php", "PHP", 0, 0, 0, 0, 53, 0, 0, 0, 7, 12, 72
"c:\laragon\www\lexcita-app\app\Services\HorarioService.php", "PHP", 0, 0, 0, 0, 16, 0, 0, 0, 3, 5, 24
"c:\laragon\www\lexcita-app\app\Services\WhatsAppService.php", "PHP", 0, 0, 0, 0, 58, 0, 0, 0, 0, 14, 72
